fid,COD_REG,COD_UTS,PRO_COM,SEZ21,SEZ21_ID,COD_TIPO_S,TIPO_LOC,LOC21_ID,COD_ZIC,COD_ISAM,COD_ACQUE,COD_ISOLE,COD_MONT_D,COD_AREA_S,COM_ASC1_geo,COM_ASC2_geo,COM_ASC3_geo,POP21,FAM21,ABI21,EDI21,CODREG,REGIONE,CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,COM_ASC1_istat,COM_ASC2_istat,COM_ASC3_istat,P1,P2,P3,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,ST1,ST2,ST2_B,ST3,ST4,ST5,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33,EM1,EM2,EM3,EM4,EM5,EM6,PF1,PF3,PF4,PF5,PF6,PF7,PF8,PF9,NA1,A2,A3,A5,A8,match_istat_2023,pop_riferimento,fam_riferimento,abi_riferimento,edi_riferimento,area_m2,area_km2,perimetro_m,dens_pop_km2,persone_famiglia,quota_m_min,quota_m_mean,quota_m_median,quota_m_max,quota_m_std,quota_m_n,pend_deg_min,pend_deg_mean,pend_deg_median,pend_deg_max,pend_deg_std,pend_deg_n,pend_pct_min,pend_pct_mean,pend_pct_median,pend_pct_max,pend_pct_std,pend_pct_n,dislivello_m,classe_pendenza
77,4,22,22205,1087,222050001087,22,4,2220540001,0,0,0,0,0,0,22205007,0,0,0,0,1,1,4.0,Trentino-Alto Adige/Südtirol,22.0,Trento,205.0,Trento,22205.0,22205007.0,0.0,0.0,12.0,6.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,0.0,2.0,0.0,4.0,4.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,7.0,3.0,4.0,4.0,8.0,0.0,3.0,3.0,0.0,1.0,5.0,0.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,5.0,7.0,0.0,12.0,True,12.0,5.0,1.0,1.0,75869.1880722504,0.0758691880722504,2106.8938644517016,158.16697535463766,2.4,321.54901123046875,354.0829772949219,355.5350036621094,376.91900634765625,11.427848815917969,75868,0.0,17.880613327026367,9.705991744995117,82.19245910644531,16.008230209350586,75868,0.0,37.732879638671875,17.104076385498047,729.3036499023438,45.37781524658203,75868,55.3699951171875,moderata (8–15°)
78,4,22,22205,1089,222050001089,1,4,2220540001,0,0,0,0,0,0,22205007,0,0,36,23,29,11,4.0,Trentino-Alto Adige/Südtirol,22.0,Trento,205.0,Trento,22205.0,22205007.0,0.0,0.0,30.0,14.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,4.0,1.0,3.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,6.0,28.0,12.0,16.0,0.0,3.0,6.0,13.0,6.0,0.0,2.0,1.0,5.0,4.0,0.0,1.0,5.0,8.0,2.0,9.0,6.0,3.0,3.0,14.0,12.0,3.0,8.0,3.0,0.0,6.0,9.0,8.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,1.0,16.0,9.0,4.0,0.0,2.0,1.0,0.0,0.0,11.0,16.0,30.0,0.0,46.0,True,30.0,16.0,29.0,11.0,40595.379597362095,0.04059537959736209,867.7964332727817,739.0003566304727,1.875,303.4649963378906,315.2956237792969,313.93499755859375,330.7030029296875,6.37279748916626,40594,0.0,9.956101417541504,7.0518317222595215,70.99285125732422,9.223011016845703,40594,0.0,18.584491729736328,12.370293617248535,290.3034362792969,20.518268585205078,40594,27.238006591796875,debole (3–8°)
79,4,22,22205,1091,222050001091,18,4,2220540001,0,0,0,0,0,0,22205010,0,0,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,3.0,3.0,4.0,2.0,6.251881321396702,6.2518813213967025e-06,328.36231814227045,479855.55799542664,1.0,297.13800048828125,300.29937744140625,297.6780090332031,311.7449951171875,5.72694730758667,5,5.069253921508789,7.036998748779297,7.643798351287842,8.789624214172363,1.6323301792144775,5,8.870675086975098,12.35398006439209,13.420660018920898,15.462276458740234,2.89078950881958,5,14.60699462890625,debole (3–8°)
80,4,22,22205,1092,222050001092,1,4,2220540001,0,0,0,0,0,0,22205010,0,0,39,19,20,10,4.0,Trentino-Alto Adige/Südtirol,22.0,Trento,205.0,Trento,22205.0,22205010.0,0.0,0.0,39.0,20.0,19.0,0.0,0.0,1.0,2.0,3.0,5.0,3.0,3.0,0.0,1.0,3.0,5.0,2.0,6.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,3.0,0.0,3.0,39.0,20.0,19.0,0.0,3.0,8.0,16.0,12.0,0.0,1.0,4.0,8.0,7.0,0.0,2.0,4.0,8.0,5.0,19.0,10.0,9.0,1.0,25.0,11.0,1.0,12.0,5.0,0.0,13.0,6.0,18.0,9.0,9.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,36.0,0.0,0.0,1.0,0.0,2.0,20.0,12.0,2.0,3.0,2.0,0.0,1.0,2.0,22.0,19.0,0.0,0.0,19.0,True,39.0,20.0,20.0,10.0,0.2456744024180071,2.456744024180071e-07,42.05199026312847,158746697.3203124,1.95,,,,,,0,,,,,,0,,,,,,0,,dato non disponibile
81,4,22,22205,1093,222050001093,1,4,2220540001,0,0,0,0,0,0,22205010,0,0,23,8,9,5,4.0,Trentino-Alto Adige/Südtirol,22.0,Trento,205.0,Trento,22205.0,22205010.0,0.0,0.0,15.0,6.0,9.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,15.0,6.0,9.0,0.0,1.0,1.0,4.0,9.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,6.0,5.0,2.0,3.0,0.0,10.0,5.0,0.0,4.0,2.0,0.0,6.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,4.0,4.0,0.0,8.0,True,15.0,4.0,9.0,5.0,1.2269426577319262,1.2269426577319261e-06,146.07640316216904,12225510.218813617,3.75,318.9110107421875,319.0159912109375,319.0159912109375,319.1210021972656,0.1049957275390625,2,1.4332410097122192,3.9636037349700928,3.9636037349700928,6.493966579437256,2.530362844467163,2,2.5019993782043457,6.942446708679199,6.942446708679199,11.382893562316895,4.4404473304748535,2,0.209991455078125,debole (3–8°)
82,4,22,22205,1096,222050001096,65,4,2220540001,0,0,0,0,0,0,22205010,0,0,2,1,3,2,4.0,Trentino-Alto Adige/Südtirol,22.0,Trento,205.0,Trento,22205.0,22205010.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,True,3.0,2.0,3.0,2.0,3.359140658654801,3.359140658654801e-06,499.9847538716489,893085.5551614137,1.5,320.8190002441406,323.4015197753906,321.04400634765625,330.6990051269531,4.214216709136963,4,0.5212501883506775,2.1112780570983887,2.4123318195343018,3.099198579788208,0.9603279829025269,4,0.909778356552124,3.687448024749756,4.212805271148682,5.414403438568115,1.6778299808502197,4,9.8800048828125,quasi pianeggiante (<3°)
83,4,22,22205,1098,222050001098,10,4,2220540001,0,0,0,0,0,0,22205010,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,1.0,1.0,2.965957980079911,2.965957980079911e-06,35.18798551002447,0.0,,311.97601318359375,316.5296630859375,318.0719909667969,319.5409851074219,3.275289535522461,3,1.1590005159378052,9.572924613952637,1.3254389762878418,26.234333038330078,11.781591415405273,3,2.023113489151001,17.872468948364258,2.3137402534484863,49.28055191040039,22.209184646606445,3,7.564971923828125,quasi pianeggiante (<3°)
84,4,22,22205,1099,222050001099,65,4,2220540001,0,0,0,0,0,0,22205010,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,1.0,1.0,3.4796957296131246,3.4796957296131248e-06,39.7577149068463,0.0,,319.91900634765625,320.13568115234375,320.04901123046875,320.4389953613281,0.2209518551826477,3,4.541097164154053,5.4628753662109375,5.584834098815918,6.262694358825684,0.7081100344657898,3,7.942346572875977,9.564970970153809,9.778362274169922,10.974203109741211,1.2469136714935303,3,0.519989013671875,debole (3–8°)
85,4,22,22205,1101,222050001101,16,4,2220540001,0,0,0,0,0,0,22205007,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,1.0,1.0,22700.814146756118,0.022700814146756117,589.3020560280502,0.0,,359.0610046386719,365.7947082519531,364.6090087890625,372.4670104980469,2.7966907024383545,22710,0.0,5.969526767730713,1.9217417240142822,71.24588775634766,10.074113845825195,22710,0.0,11.726919174194336,3.355330228805542,294.5210266113281,23.51361846923828,22710,13.406005859375,quasi pianeggiante (<3°)
86,4,22,22205,1102,222050001102,10,4,2220540001,0,0,0,0,0,0,22205007,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,1.0,1.0,6973.784126809262,0.006973784126809261,1247.9193170290287,0.0,,301.0539855957031,308.1715087890625,307.9519958496094,316.6809997558594,2.788074254989624,6954,0.0,25.90182876586914,24.486188888549805,66.16329193115234,17.04279327392578,6954,0.0,55.16935348510742,45.54351806640625,226.33749389648438,42.432254791259766,6954,15.62701416015625,elevata (15–25°)
