service_row,service_name,service_address,rank,score,poi_name,poi_address,latitude,longitude,poi_source
8,ANFITEATRO ALL'APERTO / ARENA,"Piazza Manci, Povo (nel parco adiacente la Banca per il Trentino Alto Adige - filiale di Povo))",1,100.0,Anfiteatro all'aperto,"Piazza Manci, Povo (nel parco adiacente la Banca per il Trentino Alto Adige - filiale di Povo))",46.065413,11.154953,cultura_socialita_e_spazi_comuni.csv
9,CASA SOCIALE ,"Povo, Via Salè 1",1,100.0,Casa Sociale,Via Salè 1,46.064387,11.152653,cultura_socialita_e_spazi_comuni.csv
9,CASA SOCIALE ,"Povo, Via Salè 1",2,78.14,Casa di Riposo Margherita Grazioli,"Via della Resistenza, S/N",46.065951943293754,11.157336881383971,foursquare_povo.geojson
9,CASA SOCIALE ,"Povo, Via Salè 1",3,76.43,Kaleidoscopio Cooperativa Sociale a R.L.,Via Don Tommaso Dallafior 2 A,46.06568356742343,11.15397629042798,foursquare_povo.geojson
9,CASA SOCIALE ,"Povo, Via Salè 1",4,72.8,bar salè,Via Salè,46.06399329572866,11.158128573701859,foursquare_povo.geojson
10,BANCA PER IL TRENTINO ALTO ADIGE - BANK FUER TRENTINO SUEDTIROL,"Piazza G. Manci, 17 - Povo (Trento)",1,98.87,Banca per il Trentino Alto Adige - Bank für Trentino Südtirol,Piazza Manci 17,46.065662,11.154894,commercio_e_servizi_di_prossimita.csv
10,BANCA PER IL TRENTINO ALTO ADIGE - BANK FUER TRENTINO SUEDTIROL,"Piazza G. Manci, 17 - Povo (Trento)",2,76.81,ATM Banca Popolare di Sondrio,Via Mesiano 77,46.067276417961146,11.13972415788726,foursquare_povo.geojson
10,BANCA PER IL TRENTINO ALTO ADIGE - BANK FUER TRENTINO SUEDTIROL,"Piazza G. Manci, 17 - Povo (Trento)",3,73.07,Agritur Ponte Alto,Via alla Cascata 27,46.072605740515804,11.152167514564578,foursquare_povo.geojson
11,Sala Multiuso 2 presso Centro civico,via Don T. Dallafior 5,1,100.0,Sala Multiuso 2 presso Centro civico,Via Don T. Dallafior 5,46.064937,11.153418,cultura_socialita_e_spazi_comuni.csv
11,Sala Multiuso 2 presso Centro civico,via Don T. Dallafior 5,2,79.47,Mercantil G. B. Santos 2,Cidade Do Povo,46.06542,11.153449,foursquare_povo.geojson
11,Sala Multiuso 2 presso Centro civico,via Don T. Dallafior 5,3,76.43,sede Povo 2 - Università di Trento,Via Sommarive 9,46.06825642733636,11.14993055746988,foursquare_povo.geojson
11,Sala Multiuso 2 presso Centro civico,via Don T. Dallafior 5,4,74.78,Centro Estetico,Via della Resistenza 25,46.066208,11.155608,commercio_e_servizi_di_prossimita.csv
11,Sala Multiuso 2 presso Centro civico,via Don T. Dallafior 5,5,74.14,Sala riunioni biblioteca,None,46.067084,11.150249,foursquare_povo.geojson
12,Bar In Centro,P.zza Manci n. 9 ,1,74.73,Bar di Ingegneria dell'Università degli Studi di Trento,Via Mesiano 77,46.06636727452834,11.140654413991328,foursquare_povo.geojson
12,Bar In Centro,P.zza Manci n. 9 ,2,74.14,bar renè,Via Salè,46.070541595471816,11.15146832357654,foursquare_povo.geojson
