stop_cluster_id,stop_name,stop_ids,feed_sources,linee_urbane,linee_extraurbane,passaggi_urbani,passaggi_extraurbani,frequenza_urbana_min,frequenza_extraurbana_min,passaggi_totali,tipo_servizio,graph_node,snap_dist_m
65,Piazzale Orsi Stazione Fs,1311,urbano,5,,10,0,80.0,,10,urbano,3697374573,18386.78152026806
66,Stazione Fs,1312,urbano,5,,10,0,80.0,,10,urbano,3697374573,18371.151409506296
67,Piazzale S.Maria Ospedale,1316,urbano,5,,10,0,80.0,,10,urbano,3697374573,18732.68879125933
68,Piazza Manifattura,1319,urbano,5,,10,0,80.0,,10,urbano,3697374573,19541.8443031545
69,Via Cavour Via Riva,"1363,1365",urbano,5,,20,0,80.0,,20,urbano,3697374573,18659.385037681666
70,Via Cavour,"1364,1366",urbano,5,,20,0,80.0,,20,urbano,3697374573,18502.75787430731
71,Via Cesari Stazione Fs,1367,urbano,5,,10,0,80.0,,10,urbano,3697374573,18320.2832982787
72,Via Dante Mon. All'alpino,1370,urbano,5,,10,0,80.0,,10,urbano,3697374573,18451.38213439308
73,Via Dante Mon. All'alpino,1371,urbano,5,,10,0,80.0,,10,urbano,3697374573,18507.47023302401
74,Via Saibanti,"1401,1402",urbano,5,,20,0,80.0,,20,urbano,3697374573,18483.888511747104
75,Viale Vittoria Via Zotti,1418,urbano,5,,10,0,80.0,,10,urbano,3697374573,19217.70058361229
76,Viale Vittoria Fucine,"1419,1421",urbano,5,,20,0,80.0,,20,urbano,3697374573,18976.84987248535
77,Villa Lagarina Via Solari,"1426,1427",urbano,5,,18,0,80.0,,18,urbano,3697374573,16266.918941072836
78,Via Craffonara,1431,urbano,5,,10,0,80.0,,10,urbano,3697374573,18728.841336114223
79,Via Zotti Via Cevedale,1446,urbano,5,,10,0,80.0,,10,urbano,3697374573,19177.31739615516
80,Via Zotti,1447,urbano,5,,10,0,80.0,,10,urbano,3697374573,19344.184714542407
81,"Piazza Dante ""Dogana""",2189,urbano,5,,43,0,17.976190476190474,,43,urbano,11140398144,1245.1521654926196
82,Brancolino,"2215,2216",urbano,5,,18,0,80.0,,18,urbano,3697374573,17952.522619822204
83,Brancolino Sp.90,"2217,2218",urbano,5,,18,0,80.0,,18,urbano,3697374573,18069.40035472941
84,Cornale',"2226,2227",urbano,5,,20,0,80.0,,20,urbano,3697374573,20227.311869337056
