stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding,passaggi,prima_departure_s,ultima_departure_s,linee,frequenza_media_min,prima_corsa,ultima_corsa,feed_source
9,25205x,Borino,,46.067127,11.165537,10110,1,27,25680.0,71460.0,5,29.346153846153847,07:08,19:51,urbano
46,25305z,"Gabbiolo ""Campo Sportivo""",,46.055301,11.148990,10110,1,19,27000.0,70320.0,13,40.111111111111114,07:30,19:32,urbano
47,25305x,"Gabbiolo ""Campo Sportivo""",,46.055279,11.148843,10110,1,20,25260.0,71040.0,13,40.1578947368421,07:01,19:44,urbano
145,25405z,"Mesiano ""Fac. Ingegneria""",,46.067111,11.139552,10110,1,39,26280.0,70860.0,5,19.55263157894737,07:18,19:41,urbano
146,25405x,"Mesiano ""Fac. Ingegneria""",,46.067201,11.139594,10110,1,43,25260.0,70560.0,5,17.976190476190474,07:01,19:36,urbano
147,25410z,"Mesiano ""Stazione Fs""",,46.064922,11.141795,10110,1,39,26340.0,70920.0,5,19.55263157894737,07:19,19:42,urbano
148,25410x,"Mesiano ""Stazione Fs""",,46.065054,11.141743,10110,1,43,25260.0,70560.0,5,17.976190476190474,07:01,19:36,urbano
149,25045z,Povo Valoni,,46.065426,11.146084,10110,1,40,25200.0,70980.0,5,19.564102564102566,07:00,19:43,urbano
150,25045x,Povo Valoni,,46.065751,11.146343,10110,1,43,25200.0,70500.0,5,17.976190476190474,07:00,19:35,urbano
159,25640z,Villazzano Valnigra,,46.052083,11.146588,10110,1,19,26940.0,70260.0,13,40.111111111111114,07:29,19:31,urbano
160,25640x,Villazzano Valnigra,,46.052091,11.146369,10110,1,20,25320.0,71100.0,13,40.1578947368421,07:02,19:45,urbano
161,25105c,Oltrecastello,,46.072734,11.161992,10110,,54,25800.0,71820.0,5,14.471698113207546,07:10,19:57,urbano
165,21545-,Piazza di Fiera,,46.065117,11.123289,10110,,39,25860.0,70440.0,5,19.55263157894737,07:11,19:34,urbano
166,21595x,S.Francesco Porta Nuova,,46.066890,11.126409,10110,1,39,25980.0,70560.0,5,19.55263157894737,07:13,19:36,urbano
174,24605z,Ponte Lodovico,,46.069376,11.138945,10110,,39,26220.0,70800.0,5,19.55263157894737,07:17,19:40,urbano
175,24605x,Ponte Lodovico,,46.069514,11.140184,10110,,43,25320.0,70620.0,5,17.976190476190474,07:02,19:37,urbano
176,21745x,"Venezia ""Port'aquila""",,46.069863,11.128240,10110,2,43,25560.0,70860.0,5,17.976190476190474,07:06,19:41,urbano
179,25505z,Spré Pinara,,46.067490,11.161268,10110,1,27,25500.0,71280.0,5,29.346153846153847,07:05,19:48,urbano
180,25505x,Spré Pinara,,46.067189,11.160763,10110,1,27,25980.0,71880.0,5,29.423076923076923,07:13,19:58,urbano
181,25005z,"Povo ""Casa di Riposo""",,46.065739,11.159706,10110,1,27,25500.0,71280.0,5,29.346153846153847,07:05,19:48,urbano
182,25005x,"Povo ""Casa di Riposo""",,46.065543,11.159557,10110,1,27,26100.0,72000.0,5,29.423076923076923,07:15,20:00,urbano
183,25010z,"Povo ""Centro Civico""",,46.064110,11.151992,10110,1,47,25320.0,71100.0,"13,5",16.58695652173913,07:02,19:45,urbano
184,25010x,"Povo ""Centro Civico""",,46.063870,11.151952,10110,2,45,26280.0,70920.0,"13,5",16.90909090909091,07:18,19:42,urbano
185,25035z,Povo S.Agata,,46.066341,11.156734,10110,1,59,25380.0,71160.0,"13,5",13.155172413793103,07:03,19:46,urbano
186,25030z,Povo Piazza Manci,,46.065879,11.154677,10110,1,59,25380.0,71160.0,"13,5",13.155172413793103,07:03,19:46,urbano
187,25030x,Povo Piazza Manci,,46.065939,11.154528,10110,2,56,26220.0,70860.0,"13,5",13.527272727272727,07:17,19:41,urbano
188,25015z,"Povo ""Fac. Scienze""",,46.063156,11.150091,10110,1,28,25260.0,71040.0,5,28.25925925925926,07:01,19:44,urbano
189,25015x,"Povo ""Fac. Scienze""",,46.063282,11.150174,10110,1,26,26340.0,70440.0,5,29.4,07:19,19:34,urbano
190,25020z,"Povo ""Polo Sociale""",,46.065460,11.158013,10110,2,27,25440.0,71220.0,5,29.346153846153847,07:04,19:47,urbano
191,25020x,"Povo ""Polo Sociale""",,46.065689,11.157889,10110,1,26,26160.0,70260.0,5,29.4,07:16,19:31,urbano
202,20120c,"Piazza Dante ""Pal. Regione""",,46.071751,11.121400,10110,1,19,26820.0,70200.0,13,40.166666666666664,07:27,19:30,urbano
215,25040z,Povo Salé,,46.062025,11.151318,10110,1,47,25320.0,71100.0,"13,5",16.58695652173913,07:02,19:45,urbano
216,25040x,Povo Salé,,46.062005,11.150887,10110,2,45,26280.0,70920.0,"13,5",16.90909090909091,07:18,19:42,urbano
217,21765z,"Verona ""S.Bartolameo""",,46.050654,11.130531,10110,1,20,26160.0,71880.0,13,40.10526315789474,07:16,19:58,urbano
218,21765x,"Verona ""S.Bartolameo""",,46.051053,11.130406,10110,1,20,26160.0,71940.0,13,40.1578947368421,07:16,19:59,urbano
226,25810e,San Rocco Torricelle,,46.038494,11.145576,10110,2,39,25680.0,71460.0,13,20.07894736842105,07:08,19:51,urbano
227,25805-,San Rocco Piazza,,46.036260,11.146204,10110,1,39,25620.0,71400.0,13,20.07894736842105,07:07,19:50,urbano
243,25510z,Spré S.Lucia,,46.069410,11.161625,10110,2,27,25560.0,71340.0,5,29.346153846153847,07:06,19:49,urbano
244,25510x,Spré S.Lucia,,46.069213,11.161184,10110,2,27,25980.0,71880.0,5,29.423076923076923,07:13,19:58,urbano
247,20125p,"Piazza Dante ""Stazione Fs""",,46.071756,11.119511,10110,1,60,25440.0,71940.0,"13,5",13.135593220338983,07:04,19:59,urbano
276,21645x,"Sanzio ""Castello""",,46.071903,11.126008,10110,1,43,25620.0,70920.0,5,17.976190476190474,07:07,19:42,urbano
310,21240z,Conci De Riccabona,,46.039514,11.140832,10110,2,19,26520.0,69840.0,13,40.111111111111114,07:22,19:24,urbano
311,21240x,Conci De Riccabona,,46.039362,11.140403,10110,1,20,25800.0,71580.0,13,40.1578947368421,07:10,19:53,urbano
312,21235z,Conci Ferrovia,,46.039317,11.137726,10110,2,19,26460.0,69780.0,13,40.111111111111114,07:21,19:23,urbano
313,21235x,Conci Ferrovia,,46.039824,11.137235,10110,2,20,25860.0,71640.0,13,40.1578947368421,07:11,19:54,urbano
324,25610z,"Villazzano ""Villa De Mersi""",,46.048201,11.143371,10110,1,19,26820.0,70140.0,13,40.111111111111114,07:27,19:29,urbano
340,25815z,Ss 349 Pozzata,,46.039510,11.144092,10110,2,39,25560.0,71340.0,13,20.07894736842105,07:06,19:49,urbano
348,21360z,Giusti Pascoli,,46.060282,11.118954,10110,1,20,25740.0,71460.0,13,40.10526315789474,07:09,19:51,urbano
349,21355x,"Giusti ""Arcivescovile""",,46.061521,11.119038,10110,1,19,26460.0,69840.0,13,40.166666666666664,07:21,19:24,urbano
382,21490z,Menguzzato Al Casteller,,46.038132,11.134411,10110,2,19,26400.0,69720.0,13,40.111111111111114,07:20,19:22,urbano
383,21485z,"Menguzzato ""Centro Civico""",,46.040399,11.131724,10110,1,19,26340.0,69660.0,13,40.111111111111114,07:19,19:21,urbano
384,21485x,"Menguzzato ""Centro Civico""",,46.040190,11.132068,10110,1,20,25980.0,71760.0,13,40.1578947368421,07:13,19:56,urbano
385,21490x,Menguzzato Al Casteller,,46.038060,11.134171,10110,1,20,25920.0,71700.0,13,40.1578947368421,07:12,19:55,urbano
401,21305x,F.Lli Perini 3 Novembre,,46.060865,11.124266,10110,1,19,26400.0,69780.0,13,40.166666666666664,07:20,19:23,urbano
403,21580x,Romagnosi Vannetti,,46.072966,11.122675,10110,1,43,25740.0,71040.0,5,17.976190476190474,07:09,19:44,urbano
404,21585z,"Rosmini ""Cimitero"" / Muse",,46.064014,11.119486,10110,1,20,25680.0,71400.0,13,40.10526315789474,07:08,19:50,urbano
405,21585x,"Rosmini ""Cimitero"" / Muse",,46.063777,11.119653,10110,1,19,26520.0,69900.0,13,40.166666666666664,07:22,19:25,urbano
406,21590x,Rosmini S.Maria Maggiore,,46.067878,11.118839,10110,1,19,26640.0,70020.0,13,40.166666666666664,07:24,19:27,urbano
407,21590z,Rosmini S.Maria Maggiore,,46.068034,11.118702,10110,1,59,25560.0,71280.0,"13,5",13.137931034482758,07:06,19:48,urbano
444,21710z,Travai Al Nuoto / Muse,,46.064550,11.120922,10110,1,39,25800.0,70380.0,5,19.55263157894737,07:10,19:33,urbano
446,21790z,"Vittorio Veneto ""S.Giuseppe""",,46.057759,11.119314,10110,1,20,25860.0,71580.0,13,40.10526315789474,07:11,19:53,urbano
447,21795z,Vittorio Veneto Lorenzoni,,46.058637,11.123793,10110,1,20,25920.0,71640.0,13,40.10526315789474,07:12,19:54,urbano
450,21750z,Venezia Cave,,46.066640,11.131530,10110,2,39,26040.0,70620.0,5,19.55263157894737,07:14,19:37,urbano
451,21750x,Venezia Cave,,46.066443,11.132573,10110,2,43,25440.0,70740.0,5,17.976190476190474,07:04,19:39,urbano
452,21735z,"Venezia ""Corallo""",,46.068584,11.136364,10110,1,39,26160.0,70740.0,5,19.55263157894737,07:16,19:39,urbano
453,21735x,"Venezia ""Corallo""",,46.069215,11.136423,10110,1,43,25380.0,70680.0,5,17.976190476190474,07:03,19:38,urbano
457,21775z,Verona Fogazzaro,,46.056393,11.128495,10110,1,20,26100.0,71820.0,13,40.10526315789474,07:15,19:57,urbano
458,21775x,Verona Fogazzaro,,46.056480,11.128573,10110,1,20,26220.0,72000.0,13,40.1578947368421,07:17,20:00,urbano
459,21760z,"Verona ""Palazzo Stella""",,46.043087,11.131261,10110,1,20,26280.0,72000.0,13,40.10526315789474,07:18,20:00,urbano
461,21755z,"Verona ""Questura""",,46.047729,11.131077,10110,1,20,26220.0,71940.0,13,40.10526315789474,07:17,19:59,urbano
462,21770z,Verona Einaudi,,46.052957,11.129723,10110,1,20,26160.0,71880.0,13,40.10526315789474,07:16,19:58,urbano
463,21770x,Verona Einaudi,,46.052827,11.129887,10110,1,20,26160.0,71940.0,13,40.1578947368421,07:16,19:59,urbano
464,21755x,"Verona ""Questura""",,46.047963,11.131182,10110,2,20,26100.0,71880.0,13,40.1578947368421,07:15,19:58,urbano
466,21050x,"3 Nov. ""Ponte Cavalleggeri""",,46.059260,11.126666,10110,1,19,26340.0,69720.0,13,40.166666666666664,07:19,19:22,urbano
475,25615z,"Villazzano ""Villa Tambosi""",,46.043932,11.140651,10110,1,19,26760.0,70080.0,13,40.111111111111114,07:26,19:28,urbano
476,25615x,"Villazzano ""Villa Tambosi""",,46.043827,11.140139,10110,1,20,25500.0,71280.0,13,40.1578947368421,07:05,19:48,urbano
481,25605z,"Villazzano ""Chiesa""",,46.049358,11.143947,10110,2,19,26880.0,70200.0,13,40.111111111111114,07:28,19:30,urbano
486,25620x,Villazzano Banala,,46.047437,11.142286,10110,1,20,25440.0,71220.0,13,40.1578947368421,07:04,19:47,urbano
524,21050z,"3 Nov. ""Ponte Cavalleggeri""",,46.059396,11.126384,10110,1,20,25980.0,71700.0,13,40.10526315789474,07:13,19:55,urbano
1286,31071z,Corso Verona Ospedale,,45.882264,11.040343,10121,1,20,26580.0,70740.0,5,38.73684210526316,07:23,19:39,urbano
1307,35121x,Nogaredo Via Zuccate,,45.912242,11.025615,15091,2,9,29100.0,67500.0,5,80.0,08:05,18:45,urbano
1308,35121z,Nogaredo Via Zuccate,,45.912297,11.025602,15091,2,9,29700.0,68100.0,5,80.0,08:15,18:55,urbano
1311,30161-,Piazzale Orsi Stazione Fs,,45.890257,11.034246,10121,1,10,26220.0,69420.0,5,80.0,07:17,19:17,urbano
1312,30191-,Stazione Fs,,45.890549,11.033982,10101,,10,27900.0,71100.0,5,80.0,07:45,19:45,urbano
1316,31101x,Piazzale S.Maria Ospedale,,45.883611,11.040940,10121,1,10,27600.0,70800.0,5,80.0,07:40,19:40,urbano
1319,31131z,Piazza Manifattura,,45.883941,11.021100,10101,,10,28200.0,71400.0,5,80.0,07:50,19:50,urbano
1363,31311z,Via Cavour Via Riva,,45.887280,11.034509,10121,1,10,28020.0,71220.0,5,80.0,07:47,19:47,urbano
1364,31301x,Via Cavour,,45.887193,11.038491,10101,,10,27720.0,70920.0,5,80.0,07:42,19:42,urbano
1365,31311x,Via Cavour Via Riva,,45.887260,11.034203,10121,1,10,26100.0,69300.0,5,80.0,07:15,19:15,urbano
1366,31301z,Via Cavour,,45.887107,11.038239,10101,,10,26400.0,69600.0,5,80.0,07:20,19:20,urbano
1367,30171-,Via Cesari Stazione Fs,,45.890330,11.035640,10121,2,10,26280.0,69480.0,5,80.0,07:18,19:18,urbano
1370,31361x,Via Dante Mon. All'alpino,,45.886799,11.040419,10121,2,10,27660.0,70860.0,5,80.0,07:41,19:41,urbano
1371,31361z,Via Dante Mon. All'alpino,,45.886264,11.040284,10121,2,10,26460.0,69660.0,5,80.0,07:21,19:21,urbano
1401,31641x,Via Saibanti,,45.888197,11.036753,10101,,10,27780.0,70980.0,5,80.0,07:43,19:43,urbano
1402,31641z,Via Saibanti,,45.887981,11.036659,10101,,10,26340.0,69540.0,5,80.0,07:19,19:19,urbano
1418,31801z,Viale Vittoria Via Zotti,,45.885360,11.025501,10101,2,10,28140.0,71340.0,5,80.0,07:49,19:49,urbano
1419,31791z,Viale Vittoria Fucine,,45.886322,11.028863,10101,1,10,28080.0,71280.0,5,80.0,07:48,19:48,urbano
