cluster_v3,popolazione_rif,famiglie_rif,abitazioni_rif,dislivello_sezione_m,servizi_5_min,servizi_15_min,tempo_associazioni_min,tempo_cultura_min,tempo_ristorazione_min,tempo_attivita_economiche_min,tempo_fermata_min,passaggi_totali,n_sezioni,profilo_cluster_v3,profilo_pubblico,silhouette
1,183.21052631578948,81.28947368421052,91.76315789473684,122.0530264718192,0.631578947368421,12.131578947368421,21.098698635091107,20.449365218170303,16.857141849814024,14.738519528799387,5.115578398199676,43.48571428571429,38,nucleo_residenziale,Nucleo prevalentemente residenziale,0.24754214282235573
2,13.714285714285714,4.857142857142857,8.285714285714286,458.5740051269531,0.0,0.0,91.45633204514375,89.32669345764036,88.27147702824298,82.59658571982946,66.68821354051212,24.0,7,area_periferica_morfologicamente_svantaggiata,Area periferica o penalizzata dalla morfologia,0.24754214282235573
3,66.16666666666667,23.416666666666668,29.666666666666668,16.442660013834637,13.416666666666666,23.75,10.98428809951291,6.433960910602746,2.5425341081261816,4.917539424949553,1.8439636834222197,127.0,12,centralita_servita,Centralità locale ben servita,0.24754214282235573
4,12.5,4.5,6.131578947368421,30.254591941833496,0.05263157894736842,0.42105263157894735,40.4196036835318,38.20670022214381,34.4252840114957,32.85091277235474,11.827487512378223,51.588235294117645,38,area_mista_di_transizione,Area mista e di transizione,0.24754214282235573
