stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding,passaggi,prime_departure_s,last_departure_s,linee,frequenza_media_min,prima_corsa,ultima_corsa,graph_node,snap_dist
1419,31791z,Viale Vittoria Fucine,,45.886322,11.028863,10101,1,10,28080,71280,5,80.0,07:48,19:48,3697374573,18982.617336667856
1421,31791x,Viale Vittoria Fucine,,45.886323,11.029127,10101,1,10,26040,69240,5,80.0,07:14,19:14,3697374573,18971.086187818182
1426,38061x,Villa Lagarina Via Solari,,45.917095,11.028849,18041,1,9,29160,67560,5,80.0,08:06,18:46,3697374573,16259.326346037218
1427,38061z,Villa Lagarina Via Solari,,45.916967,11.028762,18041,2,9,29580,67980,5,80.0,08:13,18:53,3697374573,16274.51180230164
1431,31331-,Via Craffonara,,45.886610,11.034168,10101,,10,27960,71160,5,80.0,07:46,19:46,3697374573,18728.841336114223
1446,31741x,Via Zotti Via Cevedale,,45.885735,11.025638,10121,1,10,25920,69120,5,80.0,07:12,19:12,3697374573,19177.31739615516
1447,31731x,Via Zotti,,45.886244,11.020845,10101,,10,25860,69060,5,80.0,07:11,19:11,3697374573,19344.184714542407
2189,20130c,"Piazza Dante ""Dogana""",,46.072531,11.119934,10110,1,43,25800,71100,5,17.976190476190474,07:10,19:45,11140398144,1245.1521654926196
2215,35011z,Brancolino,,45.902202,11.020328,15091,2,9,28920,67320,5,80.0,08:02,18:42,3697374573,17954.485723099093
2216,35011x,Brancolino,,45.902262,11.020302,15091,2,9,29880,68280,5,80.0,08:18,18:58,3697374573,17950.559977828107
2217,35021x,Brancolino Sp.90,,45.900676,11.020450,15091,1,9,29880,68280,5,80.0,08:18,18:58,3697374573,18080.965195597943
2218,35021z,Brancolino Sp.90,,45.900782,11.020738,15091,1,9,28860,67260,5,80.0,08:01,18:41,3697374573,18057.83694253819
2226,33011x,Cornale',,45.881595,11.010857,13041,2,10,25620,68820,5,80.0,07:07,19:07,3697374573,20217.534739937324
2227,33011z,Cornale',,45.881500,11.010617,13041,2,10,28440,71640,5,80.0,07:54,19:54,3697374573,20237.089939360398
2231,33051z,Isera Via Rosina,,45.887495,11.010432,13041,2,10,28680,71880,5,80.0,07:58,19:58,3697374573,19713.732675283216
2232,33051x,Isera Via Rosina,,45.887748,11.010732,13041,2,10,25380,68580,5,80.0,07:03,19:03,3697374573,19677.24855337095
2233,33031z,Isera Cimitero,,45.888649,11.011896,13041,2,10,28740,71940,5,80.0,07:59,19:59,3697374573,19542.793499127452
2234,33031x,Isera Cimitero,,45.888525,11.011727,13041,2,10,25320,68520,5,80.0,07:02,19:02,3697374573,19561.71425213822
2238,33071x,Marano,,45.895910,11.015560,13041,2,10,25200,68400,5,80.0,07:00,19:00,3697374573,18731.745006471927
2239,33071z,Marano,,45.895781,11.015525,13041,2,10,28800,72000,5,80.0,08:00,20:00,3697374573,18744.66939814751
2259,35101z,Nogaredo Scuole Elementari,,45.909122,11.022514,15091,2,9,29040,67440,5,80.0,08:04,18:44,3697374573,17252.77417613109
2260,35101x,Nogaredo Scuole Elementari,,45.909039,11.022329,15091,2,9,29760,68160,5,80.0,08:16,18:56,3697374573,17269.069415381615
2261,38051z,Villa Lagarina Via Marconi,,45.915541,11.027716,15091,2,9,29640,68040,5,80.0,08:14,18:54,3697374573,16447.630433801536
2262,38051x,Villa Lagarina Via Marconi,,45.914882,11.027749,15091,2,9,29160,67560,5,80.0,08:06,18:46,3697374573,16501.689694784964
2273,31111x,Piazza Filzi Via Del Porto,,45.884129,11.017931,10101,1,10,25740,68940,5,80.0,07:09,19:09,3697374573,19666.91976810549
2311,31411x,Via Fedrigotti Chiesa,,45.884252,11.020443,10101,2,10,25800,69000,5,80.0,07:10,19:10,3697374573,19542.86395642983
2333,18041,Villa Lagarina Via Magrè,,45.917725,11.033251,18041,1,9,29520,67920,5,80.0,08:12,18:52,3697374573,15984.93785695303
2334,38041x,Villa Lagarina Via Magrè,,45.917561,11.033477,18041,1,9,29280,67680,5,80.0,08:08,18:48,3697374573,15987.672221490726
2490,25025z,Povo Pantè,,46.063986,11.150894,10110,2,12,27000,68400,5,62.72727272727273,07:30,19:00,434150860,14.15064398815571
2499,25605x,"Villazzano ""Chiesa""",,46.049327,11.143840,10110,1,20,25380,71160,13,40.1578947368421,07:03,19:46,2238537071,105.23356216396664
2511,33041o,Isera P.Zza S.Vincenzo-O.,,45.885392,11.009090,13041,2,10,25440,68640,5,80.0,07:04,19:04,3697374573,19962.539965861364
2537,21754z,"Verona ""Big Center""",,46.045701,11.130926,10110,1,20,26280,72000,13,40.10526315789474,07:18,20:00,8917536641,742.7751398624703
2538,21754x,"Verona ""Big Center""",,46.045723,11.131083,10110,1,20,26040,71820,13,40.1578947368421,07:14,19:57,8917536641,731.2789190868635
2549,25020c,"Povo ""Polo Sociale"" Cap.",,46.065718,11.158010,10110,1,62,27120,70800,"13,5",11.934426229508198,07:32,19:40,4215429094,9.819234252697889
2682,25050-,Povo Sommarive,,46.065493,11.150401,10110,2,11,30000,67980,5,63.3,08:20,18:53,533341769,27.568715206473332
2686,33041e,Isera P.Zza S.Vincenzo-E.,,45.885395,11.009226,13041,2,10,28620,71820,5,80.0,07:57,19:57,3697374573,19955.86019076642
2758,31811z,Viale Vittoria Scuole Degasperi,,45.884953,11.023994,10101,1,10,28140,71340,5,80.0,07:49,19:49,3697374573,19321.26752011553
2820,25025x,Povo Pantè,,46.063940,11.150611,10110,2,11,29940,67920,5,63.3,08:19,18:52,7661335606,3.640543712986028
2833,25055x,"Povo ""Polo Scientifico"" Ovest",,46.067072,11.150437,10110,1,16,29040,68100,5,43.4,08:04,18:55,6949776503,19.859147587340384
2927,21745z,"Venezia ""Port'aquila""",,46.069509,11.127874,10110,1,39,25980,70560,5,19.55263157894737,07:13,19:36,11140398144,590.7772353064516
2999,31111z,Piazza Filzi Via Del Porto,,45.884014,11.018082,10101,2,10,28260,71460,5,80.0,07:51,19:51,3697374573,19670.494435378787
3133,25820x,Galassa De Riccabona,,46.041497,11.142601,10110,2,39,25740,71520,13,20.07894736842105,07:09,19:52,7040597269,793.9752578856964
3134,25820z,Galassa De Riccabona,,46.041289,11.142599,10110,1,39,25560,71340,13,20.07894736842105,07:06,19:49,7040597269,805.926547821455
