cluster_v2,profilo_cluster_v2,pop_riferimento,fam_riferimento,abi_riferimento,dislivello_sezione_m,srv__servizi_5min,srv__servizi_15min,srv__t_associazioni_e_gruppi_min,srv__t_cultura_e_tempo_libero_min,srv__t_ristorazione_e_agriturismi_min,srv__t_servizi_e_attivit_economiche_min,gtfs__tempo_fermata_qualsiasi_min,gtfs__passaggi_totali_fermata
3,area_mista_di_transizione,30,10,7,231.718994140625,0,0,42.88811420122316,44.90486011266731,42.924674220190454,33.66964839765555,28.872492438047935,54.0
3,area_mista_di_transizione,0,0,2,12.69000244140625,0,0,47.5268888083652,50.775988829555594,47.563448827332486,39.540777114543836,34.74362115493622,54.0
3,area_mista_di_transizione,0,0,1,271.43402099609375,0,0,42.88811420122316,44.90486011266731,42.924674220190454,33.66964839765555,28.872492438047935,54.0
3,area_mista_di_transizione,37,12,15,19.43798828125,0,0,51.394414702062626,49.855814309643925,48.20955968516185,39.52071409097266,35.59539892406786,27.0
3,area_mista_di_transizione,0,0,2,0.0,0,0,56.27378108251715,54.73518069009844,53.08892606561637,46.49356674809151,40.47476530452238,27.0
2,area_periferica_morfologicamente_svantaggiata,28,6,10,28.0599365234375,0,0,100.67668184834842,99.13808145592971,97.49182683144765,90.89646751392279,84.28648307000357,27.0
2,area_periferica_morfologicamente_svantaggiata,21,7,13,118.7060546875,0,0,114.14950754720809,112.61090715478937,110.96465253030732,104.36929321278245,97.75930876886324,27.0
3,area_mista_di_transizione,100,43,46,23.36700439453125,0,0,53.42693444634867,47.403801869491296,47.19783600816443,43.82926190323122,7.138765039503006,20.0
4,centralita_servita,148,70,73,18.027984619140625,23,28,6.191383863070708,0.7311303235762733,0.5467408145939879,0.7311303235762733,1.6552730526054755,115.0
1,nucleo_residenziale,73,33,38,40.941009521484375,11,31,9.18551806685652,3.450278875163059,4.490020107862843,2.1640225659168335,0.16918008747205482,11.0
4,centralita_servita,104,48,56,20.157989501953125,5,27,13.101618200635842,5.251716795637725,4.9998037469766,1.5359420755879138,1.7569476687130545,92.0
3,area_mista_di_transizione,26,14,17,480.10198974609375,0,0,42.10465852772893,40.56605813531022,38.91980351082815,32.3244441933033,25.694062482984705,27.0
4,centralita_servita,80,35,43,11.462982177734375,2,26,15.141955969703213,7.292054564705094,1.5591371553424835,4.755236403798621,2.1350882123091113,92.0
1,nucleo_residenziale,63,21,48,151.00900268554688,0,15,19.50143139295812,11.651529987960002,5.310873740709999,9.11471182705353,6.4945636355640195,92.0
1,nucleo_residenziale,11,4,6,130.1199951171875,0,0,39.96402840947345,45.783088957563685,24.946171805924823,43.01527882466703,7.053198812303605,39.0
1,nucleo_residenziale,14,6,11,205.04598999023438,0,28,12.410128494975343,10.940810721303727,9.225273478074564,8.256330810489478,7.728134055920169,59.0
4,centralita_servita,140,70,104,21.02899169921875,23,29,5.335981376903636,2.3027342654729255,1.4802659500557425,0.2981451115688816,0.7998705664384027,115.0
1,nucleo_residenziale,267,120,125,,0,1,23.050978162276486,29.74563073757043,14.916256228571866,26.10222857747007,1.757928892665171,68.0
1,nucleo_residenziale,15,7,10,54.264007568359375,0,0,,,,,,
1,nucleo_residenziale,92,42,50,26.635009765625,0,12,19.862125754519106,13.838993177661736,13.633027316334868,10.264453211401662,10.390171238071323,92.0
3,area_mista_di_transizione,47,21,28,545.3670043945312,0,0,49.36800758492275,45.94226823924361,46.183152568021974,45.11060130516527,41.364918374800276,27.0
