cluster_v2,pop_riferimento,fam_riferimento,abi_riferimento,dislivello_sezione_m,srv__servizi_5min,srv__servizi_15min,srv__t_associazioni_e_gruppi_min,srv__t_cultura_e_tempo_libero_min,srv__t_ristorazione_e_agriturismi_min,srv__t_servizi_e_attivit_economiche_min,gtfs__tempo_fermata_qualsiasi_min,gtfs__passaggi_totali_fermata,n_sezioni,profilo_cluster_v2,silhouette
1,120.5,52.8448275862069,60.293103448275865,62.51235243853401,0.4482758620689655,8.224137931034482,21.467666295056134,20.707896438568213,16.415443365841227,15.699013788464208,7.279804600031128,46.291666666666664,58,nucleo_residenziale,0.27051119578899974
2,8.166666666666666,2.1666666666666665,5.0,441.2154052734375,0.0,0.0,99.87399693718794,98.00357850131971,96.68914192028717,90.0937826027623,88.1107639967236,27.0,6,area_periferica_morfologicamente_svantaggiata,0.27051119578899974
3,26.05263157894737,11.368421052631579,13.210526315789474,152.77881756950828,0.0,0.0,53.178010096837,50.11045940580989,49.12818319753448,43.46233783736099,22.699620213218523,34.0,19,area_mista_di_transizione,0.27051119578899974
4,66.16666666666667,23.416666666666668,29.666666666666668,16.442660013834637,13.416666666666666,23.75,10.98428809951291,6.433960910602746,2.5425341081261816,4.917539424949553,1.8439636834222197,101.83333333333333,12,centralita_servita,0.27051119578899974
